state,month,year,cars_sales,capital_gains,dividend_income,total_income,nb_returns,population,post_crash,exposure
AL,1,1934,676,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,1,1933,625,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,1,1932,732,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,1,1931,877,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,1,1930,2860,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,1,1929,1949,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,2,1934,1385,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,2,1933,538,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,2,1932,695,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,2,1931,821,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,2,1930,2335,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,2,1929,1161,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,3,1934,1827,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,3,1933,453,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,3,1932,471,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,3,1931,1515,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,3,1930,2364,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,3,1929,1541,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,4,1934,2701,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,4,1933,969,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,4,1932,900,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,4,1931,2087,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,4,1930,2878,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,4,1929,4615,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,5,1934,2177,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,5,1933,1237,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,5,1932,790,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,5,1931,1929,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,5,1930,2578,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,5,1929,3450,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,6,1934,2396,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,6,1933,1227,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,6,1932,822,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,6,1931,1415,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,6,1930,2055,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,6,1929,3391,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,7,1934,2784,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,7,1933,1695,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,7,1932,591,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,7,1931,1279,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,7,1930,1647,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,7,1929,4173,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,8,1934,2201,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,8,1933,1986,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,8,1932,714,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,8,1931,1020,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,8,1930,1592,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,8,1929,3134,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,9,1934,2052,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,9,1933,1448,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,9,1932,685,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,9,1931,781,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,9,1930,1366,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,9,1929,3628,9440722,15540573,166639611,26891,2573000,0,0.0932585770378449
AL,10,1934,3229,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,10,1933,2322,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,10,1932,891,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,10,1931,1480,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,10,1930,2322,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,10,1929,11457,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1934,3062,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1933,1526,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1932,676,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1931,1558,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1930,2379,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,11,1929,12236,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1934,1070,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1933,488,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1932,408,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1931,666,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1930,1159,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1929,3079,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AR,1,1934,581,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1933,1536,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1932,1594,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1931,1249,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1930,2555,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1929,4234,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,2,1934,1554,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1933,844,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1932,578,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1931,707,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1930,1640,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1929,1752,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,3,1934,1702,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1933,495,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1932,324,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1931,799,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1930,1992,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1929,2659,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,4,1934,1450,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1933,594,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1932,409,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1931,964,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1930,2310,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1929,2927,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,5,1934,1365,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1933,924,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1932,428,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1931,871,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1930,1883,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1929,2650,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,6,1934,973,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1933,1118,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1932,486,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1931,616,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1930,882,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1929,1837,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,7,1934,2692,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1933,1369,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1932,1017,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1931,1804,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1930,3937,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1929,5774,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,8,1934,1228,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1933,1421,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1932,500,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1931,1018,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1930,1405,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1929,3362,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,9,1934,1132,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1933,1081,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1932,371,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1931,490,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1930,971,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1929,2095,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,10,1934,1724,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1933,1196,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1932,1042,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1931,763,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1930,1241,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1929,5370,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1934,1010,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1933,829,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1932,293,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1931,373,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1930,421,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1929,2059,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1934,346,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1933,219,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1932,52,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1931,45,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1930,66,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1929,177,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AZ,1,1934,196,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1933,183,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1932,206,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1931,423,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1930,872,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1929,1301,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,2,1934,346,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1933,158,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1932,198,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1931,395,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1930,944,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1929,1448,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,3,1934,458,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1933,185,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
